Category,Subcategory,Name,Scientific name,Life list date,CA obsv (RG 5.5.26),Bay obsv (RG 5.5.26),Peak,Other 1,Other 2,Notes,R1,R1 peak,R2,R2 peak,R3,R3 peak,Star,Marine
Lizards,Phrynosomatid Lizards,Common Sagebrush Lizard,Sceloporus graciosus,2025-05-10,"3,313",265,,,,,,,,,,,,No
Flowers,Orchids,Western Rattlesnake Plantain,Goodyera oblongifolia,2024-08-03,"3,264",709,,,,,,,,,,,,No
Butterflies,Spread-wing Skippers,Propertius Duskywing,Erynnis propertius,2023-08-19,"3,263","1,445",,,,,,,,,,,,No
Flowers,Monkeyflowers,Rock Bush Monkeyflower,Diplacus calycinus,#N/A,"1,489",0,,,,,,,,,,,,No
Nudibranchs,Cladobranchia,Branched Dendronotid,Dendronotus venustus,2024-08-22,"3,210",811,,,,,,,,,,,,Yes
Mammals,Squirrels,Douglas's Ground Squirrel,Otospermophilus douglasii,2024-09-14,"3,137","1,485",,,,,,,,,,,,No
Flowers,Beardtongues,Bunchleaf Penstemon,Penstemon heterophyllus,2025-06-15,3111,"1,410",,,,,,,,,,,,
Mammals,Squirrels,Yellow-bellied Marmot,Marmota flaviventris,2025-05-21,"3,109",7,,,,Sierras/Eastern Sierras,SNE,6,,,,,,No
Butterflies,Milkweed Butterflies,Queen,Danaus gilippus,2023-11-24,"3,066",7,,,,,,,,,,,,No
Butterflies,Hairstreaks,Lotus Hairstreak,Callophrys dumetorum,2025-04-19,"3,034",801,,,,,,,,,,,,No
Butterflies,Checkerspots & Anglewings,Gabb's Checkerspot,Chlosyne gabbii,#N/A,"1,377",0,,,,Pinnacles/LA hills,,,,,,,,No
Flowers,Mariposa Lilies,Clay Mariposa Lily,Calochortus argillosus,2025-07-03,"3,013","2,572",,,,,,,,,,,,No
Butterflies,Checkerspots & Anglewings,Field Crescent,Phyciodes pulchella,2023-08-04,"2,974","1,973",,,,,,,,,,,,No
Dragonflies,Skimmers,Cardinal Meadowhawk,Sympetrum illotum,2023-08-17,"2,935","1,945",,,,,,,,,,,,No
Flowers,Clarkia,Diamond Clarkia,Clarkia rhomboidea,2026-06-10,"2,930",46,,,,,,,,,,,,No
Nudibranchs,Cladobranchia,Fisher's Aeolid,Orienthella piunca,2026-06-19,"2,913","1,233",,,,,,,,,,,,Yes
Butterflies,Whites,Margined White,Pieris marginalis,2025-04-18,"2,903","2,215",,,,,,,,,,,,No
Nudibranchs,Doridina,Yellow-gilled Sea Goddess,Doriopsilla gemela,#N/A,"1,371",0,,,,,,,,,,,,Yes
Flowers,Mariposa Lilies,Oakland Mariposa Lily,Calochortus umbellatus,2025-03-24,"2,863","2,863",,,,,,,,,,,,No
Butterflies,Checkerspots & Anglewings,California Patch,Chlosyne californica,#N/A,"1,323",0,,,,Anza Borego/J Tree,,,,,,,,No
Butterflies,Hairstreaks,Hedgerow Hairstreak,Satyrium saepium,2024-08-03,"2,831",495,,,,,,,,,,,,No
Lizards,Phrynosomatid Lizards,Banded Rock Lizard,Petrosaurus mearnsi,#N/A,"1,209",0,,,,,,,,,,,,No
Mammals,Squirrels,Merriam's Chipmunk,Neotamias merriami,2024-06-14,"2,791","1,147",,,,,,,,,,,,No
Butterflies,Blues,Boisduval's Blue,Icaricia icarioides,2023-08-05,"2,783",881,,,,,,,,,,,,No
Flowers,True Lilies,Chocolate Lily,Fritillaria biflora,2025-03-21,"2,776",8,,,,,,,,,,,,No
Butterflies,Checkerspots & Anglewings,Northern Checkerspot,Chlosyne palla,2024-05-05,"2,762","1,864",,,,,,,,,,,,No
Flowers,Orchids,Stream Orchid,Epipactis gigantea,2026-05-30,"2,760",302,,,,,SnFrB,5,,,,,,No
Flowers,Violets,Stream Violet,Viola glabella,2026-04-23,"2,747","1,647",,,,,,,,,,,,No
Dragonflies,Skimmers,Mexican Amberwing,Perithemis intensa,#N/A,"1,186",0,,,,,,,,,,,,No
Snakes,Colubrid Snakes,Coachwhip,Masticophis flagellum,2022-04-30,"2,694",9,,,,,SNE,6,,,,,,No
Flowers,Monkeyflowers,Primrose Monkeyflower,Erythranthe primuloides,2025-08-06,"2,692",0,,,,,SNE,6,,,,,,No
Flowers,Mariposa Lilies,Mount Diablo Fairy-Lantern,Calochortus pulchellus,2023-04-23,"2,667","2,667",,,,,,,,,,,,No
Snakes,Colubrid Snakes,North American Racer,Coluber constrictor,2024-06-17,"2,617","1,592",,,,,,,,,,,,No
Lizards,Night Lizards,Desert Night Lizard,Xantusia vigilis,#N/A,"1,142",0,,,,,,,,,,,,No
Butterflies,Spread-wing Skippers,Northern White-Skipper,Heliopetes ericetorum,2025-06-15,"2,610",178,,,,,,,,,,,,No
Snakes,Colubrid Snakes,Western Patch-nosed Snake,Salvadora hexalepis,#N/A,"1,141",0,,,,,,,,,,,,No
Butterflies,Hairstreaks,Brown Elfin,Callophrys augustinus,2024-05-04,"2,590",855,,,,,,,,,,,,No
Lizards,Glass & Alligator Lizards,San Diegan Legless Lizard,Anniella stebbinsi,#N/A,"1,105",0,,,,,,,,,,,,No
Flowers,Clarkia,Red Ribbons,Clarkia concinna,2024-06-06,"2,583","2,052",,,,,,,,,,,,No
Flowers,Beardtongues,Royal Beardtongue,Penstemon speciosus,#N/A,1092,0,,,,,,,,,,,,
Flowers,True Lilies,Humboldt's Lily,Lilium humboldtii,2025-05-31,"2,520",0,,,,"Nevada City, South Coast hills",,,,,,,,No
Flowers,Beardtongues,Cleveland's Beardtongue,Penstemon clevelandii,#N/A,1070,0,,,,,,,,,,,,
